document,page_count,text_length,citation_count,ocr_seconds,extract_seconds,input_tokens,output_tokens,total_tokens,cost_usd
13335_Efficient_semantic_uncer,30,98861,74,0.57,74.51,39070,27368,66438,0.035666
1_perspective_PLOSWater_preview,11,45053,67,1.05,56.65,22188,20070,42258,0.0258
23812_Unmasking_Puppeteers_Lev,16,54301,72,1.67,58.75,31253,22871,54124,0.030521
24047_Fourier_Token_Merging_Un,22,68399,32,2.13,27.6,14052,9040,23092,0.012298
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,53,107840,104,12.76,83.87,40235,34164,74399,0.044508
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,68,233781,156,1.76,97.11,29429,31233,60662,0.04019
2606.11565v1,27,56658,40,0.28,29.85,13660,10307,23967,0.013286
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,42,102718,36,1.2,26.59,7711,8134,15845,0.010396
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,99,147797,75,1.08,65.52,14688,14610,29298,0.018655
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,24,45045,35,0.64,45.21,17393,5315,22708,0.009403
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,51,80625,78,1.44,65.22,43244,25895,69139,0.036094
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,22,73163,76,0.35,56.45,25471,22473,47944,0.02934
2606.12619v1_Constraining_the_Low-p_T_ηπ^0_Ratio_for_Direct-Photon_Analys,10,38034,32,0.42,37.32,17407,5719,23126,0.009891
2606.12627v1_Two_pathways_to_diapycnal_mixing_in_strongly_stratified_flow,35,97365,52,0.64,41.77,10938,10843,21781,0.013838
2606.12634v1_Keep_Policy_Gradient_in_Charge_Sibling-Guided_Credit_Distill,13,46208,23,0.24,23.28,10557,5205,15762,0.006997
"2606.12652v1_A_mean_field_approach_to_multiple,_long-delayed_systems",6,27443,33,0.31,27.54,6592,5963,12555,0.007567
AndyW_Dissertation_Limit,50,68507,271,0.33,192.86,58782,58554,117336,0.074764
BD_money_in_bank_preprint,17,80365,85,0.33,64.8,12403,15250,27653,0.01942
Cannabis_in_the_Capital__Manuscript,23,40519,52,0.18,64.68,11465,9593,21058,0.012444
Domestic Politics in 2025_ South Korea's Polarized Democracy After Martial Law,21,50485,24,0.22,38.15,3578,3465,7043,0.00442
Fingerprint_Ridges,34,98422,38,1.4,34.71,14049,10889,24938,0.014062
GenAI_CrimEvidence,14,29961,33,0.23,43.83,10368,5923,16291,0.00782
Gunshot_Detection_Literature_Review_Expanded,2,4345,12,0.01,18.59,3079,1885,4964,0.002424
PredictionMarkets,30,80792,48,0.48,37.33,3880,5902,9782,0.007405
Preprint - The AI Criminal Mastermind - Paper,22,86045,86,0.65,53.44,24597,21231,45828,0.027221
Reimagining-justice-peacemaking-criminology-and-alternative-justice-systems-in-the-Kenyan-context,14,47410,32,0.22,51.65,3964,4609,8573,0.00587
affiliation_errors_openalex,20,61834,34,0.45,30.48,7951,8046,15997,0.010338
algorithms-19-00509,30,90751,52,0.65,52.72,20357,15051,35408,0.019411
hall_next_research,10,54278,84,0.42,57.21,21150,19043,40193,0.02436
journal.pone.0325168,53,148270,115,2.61,115.47,36607,32156,68763,0.041373
journal.pone.0334595,27,91492,43,1.94,35.2,17397,13061,30458,0.016885
journal.pone.0345850,33,114157,90,1.17,66.04,29140,25492,54632,0.03279
journal.pone.0349889,22,94466,91,0.95,75.47,32498,27297,59795,0.035627
journal.pone.0352338,17,67980,43,0.55,42.6,18126,14160,32286,0.018349
preprint-61779311834433-61779357373981,41,106335,42,0.5,53.69,10413,8895,19308,0.011396
s12889-026-27943-8_reference,23,50760,34,0.27,31.94,25908,5383,31291,0.011188
