raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
1. Review-of-predicting-crime-rates.pdf,web,,,,,,,,,,,,Review-of-predicting-crime-rates.pdf,,not_found,1.0,,,,,,web_search,"The citation is an incomplete entry consisting solely of a filename (Review-of-predicting-crime-rates.pdf). It lacks authors, a formal title, a year, and a functional URL. Per the strict protocol for incomplete citations, a bare filename or URL without authors and a real title is marked as not_found.",54.65,30577,741,1,0.017511,0.005,0.022512
10. https://www.rutgerscps.org/uploads/2/7/3/7/27370595/nij6city_results_inbrief_final.pdf,web,,,,,,,,,,,,https://www.rutgerscps.org/uploads/2/7/3/7/27370595/nij6city_results_inbrief_final.pdf,,not_found,1.0,A Multi-jurisdictional Test of Risk Terrain Modeling and a Place-based Evaluation of Environmental Risk-Based Patrol Deployment Strategies: Results In Brief,Leslie Kennedy | Joel Caplan | Eric Piza,Rutgers Center on Public Security,,https://www.rutgerscps.org/uploads/2/7/3/7/27370595/nij6city_results_inbrief_final.pdf,web_search,"The citation consists solely of a URL with no title or authors. According to the verification protocol, URL-only or filename-only bibliography entries are classified as 'not_found' regardless of whether the URL is live. Search results confirm that the URL is live and resolves to a report titled 'A Multi-jurisdictional Test of Risk Terrain Modeling and a Place-based Evaluation of Environmental Risk-Based Patrol Deployment Strategies: Results In Brief' by Leslie Kennedy, Joel Caplan, and Eric Piza.",59.77,31843,1968,1,0.021826,0.005,0.026826
11. https://jhulr.org/2025/01/01/algorithmic-justice-or-bias-legal-implications-of-predictive-policingalgorithms-in-criminal-justice/,web,,,,,,,,,,,,https://jhulr.org/2025/01/01/algorithmic-justice-or-bias-legal-implications-of-predictive-policingalgorithms-in-criminal-justice/,,not_found,1.0,Algorithmic Justice or Bias: Legal Implications of Predictive Policing Algorithms in Criminal Justice,Leo Lin,Johns Hopkins Undergraduate Law Review,,,web_search,"The citation is a bare URL which, per the protocol for URL-only bibliography entries lacking title and authors, must be marked as not_found. The URL provided (https://jhulr.org/2025/01/01/algorithmic-justice-or-bias-legal-implications-of-predictive-policingalgorithms-in-criminal-justice/) contains a minor typo (missing hyphen in 'policing-algorithms') but resolves to a valid article by Leo Lin in the Johns Hopkins Undergraduate Law Review published in 2025. Cited URL is dead/unreachable (https://jhulr.org/2025/01/01/algorithmic-justice-or-bias-legal-implications-of-predictive-policingalgorithms-in-criminal-justice/); entry also has no authors or real title — not_found (incomplete citation).",56.85,30953,1119,1,0.018833,0.005,0.023834
12. https://apbweb.com/2024/06/evidence-based-policing/,web,,,,,,,,,,,,https://apbweb.com/2024/06/evidence-based-policing/,,not_found,1.0,Evidence-based policing,,American Police Beat,,https://apbweb.com/2024/06/evidence-based-policing/,web_search,"The citation is an incomplete bibliography entry consisting only of a URL. Per the strict protocol for URL-only / incomplete citations (lacking both authors and a real title in the raw text), the status is not_found even though the URL is live and points to a relevant article.",55.27,30621,784,1,0.017663,0.005,0.022663
13. https://www.bloomberg.com/news/articles/2025-11-20/kalshi-and-polymarket-battle-gambling-companiesin-prediction-market-frenzy,web,,,,,,,,,,,,https://www.bloomberg.com/news/articles/2025-11-20/kalshi-and-polymarket-battle-gambling-companiesin-prediction-market-frenzy,,not_found,1.0,,,Bloomberg,,,web_search,"The citation is a URL-only entry lacking a title and authors. Under the governing rules, URL-only citations are automatically not_found. Additionally, the specific URL provided is dead/unreachable, and no Bloomberg article with that exact title or slug was found in November 2025.",64.92,44588,1572,1,0.02701,0.005,0.03201
14. https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html,web,,,,,,,,,,,,https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html,,not_found,1.0,Polymarket vs Kalshi: Will Crypto Beat Regulated Platforms in the Prediction Market Surge?,,Yahoo Finance,,https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html,web_search,"The URL is live and resolves to a relevant article; however, the citation is marked not_found because it is a bare-URL entry lacking both a title and authors in the provided text as per the URL-only/incomplete bibliography entry rule.",56.13,30984,776,1,0.01782,0.005,0.02282
15. https://techcrunch.com/2025/11/20/source-kalshis-valuation-jumps-to-11b-after-raising-massive-1bround/,web,,,,,,,,,,,,https://techcrunch.com/2025/11/20/source-kalshis-valuation-jumps-to-11b-after-raising-massive-1bround/,,not_found,1.0,Source: Kalshi's valuation jumps to $11B after raising massive $1B round,,TechCrunch,,,web_search,"The citation is a URL-only entry (no title or authors provided in the raw text). Under the strict verification protocol, URL-only or filename-only citations are marked as 'not_found' regardless of whether the destination is real. A corresponding article was found at TechCrunch with the title 'Source: Kalshi's valuation jumps to $11B after raising massive $1B round' (published November 20, 2025), but the cited URL is slightly incorrect (missing a hyphen in '1b-round') and the entry lacks required bibliographic metadata. Cited URL is dead/unreachable (https://techcrunch.com/2025/11/20/source-kalshis-valuation-jumps-to-11b-after-raising-massive-1bround/); entry also has no authors or real title — not_found (incomplete citation).",59.77,31044,1323,1,0.019491,0.005,0.024491
16. https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025,web,,,,,,,,,,,,https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025,,not_found,1.0,Best Crypto Prediction Markets in 2025,Trust Wallet,Trust Wallet Blog,,https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025,web_search,"The citation is a URL-only entry. According to the URL-ONLY AND INCOMPLETE CITATIONS HARD RULE, bibliography entries lacking both a real title and authors must be mapped to not_found, even if the URL is live and resolves to the correct content.",57.2,30341,758,1,0.017444,0.005,0.022444
17. https://defirate.com/prediction-markets/,web,,,,,,,,,,,,https://defirate.com/prediction-markets/,,not_found,1.0,,,,,https://defirate.com/prediction-markets/,web_search,"The citation is a bare URL (https://defirate.com/prediction-markets/) without a title or authors. Per the strict protocol for incomplete citations, URL-only entries are classified as not_found even if the URL is live and resolves to a real page.",58.93,30709,877,1,0.017985,0.005,0.022985
18. https://heitnerlegal.com/2025/10/22/prediction-market-regulation-legal-compliance-guide-for-polymarketkalshi-and-event-contract-startups/,web,,,,,,,,,,,,https://heitnerlegal.com/2025/10/22/prediction-market-regulation-legal-compliance-guide-for-polymarketkalshi-and-event-contract-startups/,,not_found,1.0,"Prediction Market Regulation: Legal Compliance Guide for Polymarket, Kalshi, and Event Contract Startups",Darren Heitner,Heitner Legal,,,web_search,"The citation contains only a URL and no title or author metadata. Per the hard rule for URL-only / incomplete bibliography entries, it is marked as not_found even though the URL resolves to a live, matching article. Cited URL is dead/unreachable (https://heitnerlegal.com/2025/10/22/prediction-market-regulation-legal-compliance-guide-for-polymarketkalshi-and-event-contract-startups/); entry also has no authors or real title — not_found (incomplete citation).",59.77,31189,1046,1,0.018732,0.005,0.023733
19. https://jasher.substack.com/p/the-10-dos-and-500-donts-of-the-fbis,web,,,,,,,,,,,,https://jasher.substack.com/p/the-10-dos-and-500-donts-of-the-fbis,,not_found,1.0,The 10 Do's and 500 Don'ts of the FBI's New Monthly Crime Data,Jeff Asher,Jeff-alytics (Substack),,https://jasher.substack.com/p/the-10-dos-and-500-donts-of-the-fbis,web_search,"The URL is live and resolves to the specific blog post by Jeff Asher. However, because the citation in the bibliography contains only a URL and lacks both a title and author(s), it is marked not_found per the protocol for URL-only/incomplete entries.",62.24,30910,882,1,0.018101,0.005,0.023101
2. Review-of-prediction-markets.pdf,web,,,,,,,,,,,,Review-of-prediction-markets.pdf,,not_found,1.0,,,,,,web_search,"The citation is incomplete, consisting only of a filename ('Review-of-prediction-markets.pdf') and lacking authors, a formal title, a year, or a venue. Under the 'URL-ONLY AND INCOMPLETE CITATIONS' rule, entries that provide only a filename or URL without authors and a real title are marked as not_found.",72.42,30473,868,1,0.01784,0.005,0.02284
20. https://www.themarshallproject.org/2023/07/13/fbi-crime-rates-data-gap-nibrs,web,,,,,,,,,,,,https://www.themarshallproject.org/2023/07/13/fbi-crime-rates-data-gap-nibrs,,not_found,1.0,4 Reasons We Should Worry About Missing Crime Data,Weihua Li | Jamiles Lartey,The Marshall Project,,https://www.themarshallproject.org/2023/07/13/fbi-crime-rates-data-gap-nibrs,web_search,"The citation is a bare URL without a title or authors. Following the mandatory protocol for URL-only/incomplete citations, this is classified as not_found even though the URL is live and resolves to a real article.",71.56,31115,1058,1,0.018731,0.005,0.023731
21. https://kalshi.com,web,,,,,,,,,,,,https://kalshi.com,,not_found,1.0,,,,,,web_search,"The citation is a bare URL and lacks both a title and authors. Per the URL-only/incomplete citation rule, it is marked as not_found even though the URL is live and resolves to the Kalshi homepage. Cited URL is dead/unreachable (https://kalshi.com); entry also has no authors or real title — not_found (incomplete citation).",70.84,30241,542,1,0.016747,0.005,0.021747
22. https://finance.yahoo.com/news/kalshi-early-leader-prediction-markets-112701302.html,web,,,,,,,,,,,,https://finance.yahoo.com/news/kalshi-early-leader-prediction-markets-112701302.html,,not_found,1.0,"Kalshi is the early leader in prediction markets, but its rival Polymarket...",,Yahoo Finance,,https://finance.yahoo.com/news/kalshi-early-leader-prediction-markets-112701302.html,web_search,"The citation is a URL-only entry. Per the hard rule for URL-only / incomplete bibliography entries (no authors and no real title), the status is not_found regardless of whether the URL is live. The URL points to an article titled ""Kalshi is the early leader in prediction markets, but its rival Polymarket..."" published October 13, 2025.",70.49,30477,764,1,0.017531,0.005,0.022531
23. https://kpmg.com/kpmg-us/content/dam/kpmg/pdf/2025/current-state-prediction-markets.pdf,web,,,,,,,,,,,,https://kpmg.com/kpmg-us/content/dam/kpmg/pdf/2025/current-state-prediction-markets.pdf,,not_found,1.0,,,,,https://kpmg.com/kpmg-us/content/dam/kpmg/pdf/2025/current-state-prediction-markets.pdf,web_search,"The citation consists solely of a URL without a title or authors. Per the strict protocol for URL-only or incomplete citations, the status is not_found, although the URL itself is live and points to a KPMG report titled 'The Current State of Prediction Markets' (2025).",68.76,31082,1182,1,0.019087,0.005,0.024087
24. How-to-write-for-Annual-Reviews.pdf,web,,,,,,,,,,,,How-to-write-for-Annual-Reviews.pdf,,not_found,1.0,,,,,,web_search,"The citation is a filename-only entry without authors or a substantive title. Per the hard rule for URL-only / filename-only / incomplete bibliography entries, this is marked as not_found.",67.92,30746,688,1,0.017437,0.005,0.022437
25. https://www.cbsnews.com/news/wanna-bet-online-prediction-markets-wager-that-you-will/,web,,,,,,,,,,,,https://www.cbsnews.com/news/wanna-bet-online-prediction-markets-wager-that-you-will/,,not_found,1.0,Wanna bet? Online prediction markets wager that you will,Jo Ling Kent | Madeleine May,CBS News,,https://www.cbsnews.com/news/wanna-bet-online-prediction-markets-wager-that-you-will/,web_search,"The URL is live and reachable. The article was originally broadcast/published on November 16, 2025. Per the 'URL-ONLY AND INCOMPLETE CITATIONS' hard rule, the citation is marked as not_found because it lacks both authors and a real title in the raw text.",67.92,30865,1082,1,0.018679,0.005,0.023679
26. https://www.businessinsider.com/kalshi-polymarket-fanduel-draftkings-sports-betting-gambling-2025-11,web,,,,,,,,,,,,https://www.businessinsider.com/kalshi-polymarket-fanduel-draftkings-sports-betting-gambling-2025-11,,not_found,1.0,Everything's casino,,Business Insider,,https://www.businessinsider.com/kalshi-polymarket-fanduel-draftkings-sports-betting-gambling-2025-11,web_search,"The citation is a bare URL with no title or authors provided in the bibliography entry. Per protocol, URL-only entries are marked 'not_found' even if the URL is live and resolves to a real work. The URL resolves to a Business Insider article published November 6, 2025.",67.93,31336,1337,1,0.019679,0.005,0.024679
"27. https://www.accc.gov.au/system/files/ACCC+commissioned+report+-+The+impact+of+digital+platforms+on+news+and+journalistic+content,+Centre+for+Media+Transition+(2).pdf",web,,,,,,,,,,,,"https://www.accc.gov.au/system/files/ACCC+commissioned+report+-+The+impact+of+digital+platforms+on+news+and+journalistic+content,+Centre+for+Media+Transition+(2).pdf",,not_found,1.0,The impact of digital platforms on news and journalistic content,Centre for Media Transition,Australian Competition and Consumer Commission (ACCC),,"https://www.accc.gov.au/system/files/ACCC+commissioned+report+-+The+impact+of+digital+platforms+on+news+and+journalistic+content,+Centre+for+Media+Transition+(2).pdf",web_search,"The URL is live and correctly identifies the 2018 report by the Centre for Media Transition for the ACCC's Digital Platforms Inquiry. However, because the raw citation provides only the URL without bibliographic metadata (title/authors), it remains not_found per the URL-only/incomplete citation rule.",62.79,30849,909,1,0.018152,0.005,0.023152
